Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,9241,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,0-24,32,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,25-34,142,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,35-44,374,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,45-54,1100,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,55-64,2553,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,65-74,4101,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,75-84,3765,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,85+,2851,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Sepsis,Sepsis,A40-A41,All ages,14918,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,26,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,36,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,94,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,296,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1059,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,2034,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,2358,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,1902,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,7805,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,0-24,44,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,25-34,176,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,35-44,630,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,45-54,1895,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,55-64,4543,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,65-74,7393,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,75-84,7346,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,85+,5500,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,Not stated,1,
8/30/2020,2/1/2020,8/29/2020,US,Diabetes,Diabetes,E10-E14,All ages,27528,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,0-24,84,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,25-34,291,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,35-44,681,
